Time[s],Mass,Time[s],Mass,Time[s],Mass,Time[s],Masse
,,52695,1.85567,26451,1.87779,,
,,52815,1.85569,26511,1.87786,,
,,52935,1.85573,26571,1.87781,,
,,53055,1.85559,26631,1.87778,,
,,53175,1.8557,26691,1.87781,,
,,53295,1.85572,26751,1.87784,,
,,53415,1.85563,26811,1.87778,,
,,53535,1.85571,26871,1.87781,,
,,53655,1.8557,26931,1.87779,,
,,53775,1.85577,26991,1.87779,,
,,53895,1.85572,27051,1.87775,,
,,54015,1.8557,27111,1.87779,,
,,54135,1.85563,27171,1.87778,,
,,54255,1.85572,27231,1.8778,,
,,54375,1.85567,27291,1.87778,,
,,54495,1.8557,27351,1.87775,,
,,54615,1.8557,27411,1.87776,,
,,54735,1.85562,27471,1.87776,,
,,54855,1.85573,27531,1.87774,,
,,54975,1.85571,27591,1.87773,,
,,55095,1.85564,27651,1.87773,,
,,,,27711,1.87772,,
,,,,27771,1.87773,,
,,,,27831,1.87773,,
,,,,27891,1.87774,,
,,,,27951,1.87777,,
,,,,28011,1.87778,,
,,,,28071,1.87775,,
,,,,28131,1.87771,,
,,,,28191,1.87774,,
,,,,28251,1.87768,,
,,,,28311,1.87769,,
,,,,28371,1.87774,,
,,,,28431,1.87774,,
,,,,28491,1.87774,,
,,,,28551,1.8777,,
,,,,28611,1.87766,,
,,,,28671,1.87772,,
,,,,28731,1.87763,,
,,,,28791,1.87771,,
,,,,28851,1.87771,,
,,,,28911,1.87766,,
,,,,28971,1.87765,,
,,,,29031,1.87771,,
,,,,29091,1.87769,,
,,,,29151,1.87765,,
,,,,29211,1.87769,,
,,,,29271,1.87766,,
,,,,29331,1.87765,,
,,,,29391,1.87765,,
,,,,29451,1.87765,,
,,,,29511,1.87765,,
,,,,29571,1.87761,,
,,,,29631,1.87763,,
,,,,29691,1.87766,,
,,,,29751,1.87756,,
,,,,29811,1.8776,,
,,,,29871,1.87763,,
,,,,29931,1.87761,,
,,,,29991,1.87763,,
,,,,30051,1.87758,,
,,,,30111,1.87762,,
,,,,30171,1.87763,,
,,,,30231,1.87763,,
,,,,30291,1.87766,,
,,,,30351,1.87765,,
,,,,30411,1.8776,,
,,,,30471,1.87763,,
,,,,30531,1.87759,,
,,,,30591,1.87763,,
,,,,30651,1.87761,,
,,,,30711,1.87762,,
,,,,30771,1.87762,,
,,,,30831,1.87759,,
,,,,30891,1.87755,,
,,,,30951,1.87754,,
,,,,31011,1.87756,,
,,,,31071,1.87752,,
,,,,31131,1.87747,,
,,,,31191,1.87755,,
,,,,31251,1.8775,,
,,,,31311,1.87752,,
,,,,31371,1.87753,,
,,,,31431,1.87754,,
,,,,31491,1.87756,,
,,,,31551,1.87753,,
,,,,31611,1.87758,,
,,,,31671,1.87748,,
,,,,31731,1.87752,,
,,,,31791,1.87749,,
,,,,31851,1.87749,,
,,,,31911,1.87755,,
,,,,31971,1.87747,,
,,,,32031,1.87752,,
,,,,32091,1.8775,,
,,,,32151,1.8775,,
,,,,32211,1.8775,,
,,,,32271,1.87751,,
,,,,32331,1.87746,,
,,,,32391,1.87748,,
,,,,32451,1.87748,,
,,,,32511,1.87752,,
,,,,32571,1.87739,,
,,,,32631,1.87747,,
,,,,32691,1.87749,,
,,,,32751,1.87749,,
,,,,32811,1.87741,,
,,,,32871,1.87751,,
,,,,32931,1.87747,,
,,,,32991,1.87747,,
,,,,33051,1.87741,,
,,,,33111,1.87745,,
,,,,33171,1.87744,,
,,,,33231,1.87737,,
,,,,33291,1.87743,,
,,,,33351,1.87743,,
,,,,33411,1.87744,,
,,,,33471,1.87742,,
,,,,33531,1.87742,,
,,,,33591,1.87737,,
,,,,33651,1.87736,,
,,,,33711,1.87742,,
,,,,33771,1.87737,,
,,,,33831,1.87739,,
,,,,33891,1.87733,,
,,,,33951,1.87738,,
,,,,34011,1.87736,,
,,,,34071,1.87738,,
,,,,34131,1.87738,,
,,,,34191,1.87733,,
,,,,34251,1.87733,,
,,,,34311,1.87737,,
,,,,34371,1.87738,,
,,,,34431,1.8773,,
,,,,34491,1.87733,,
,,,,34551,1.87737,,
,,,,34611,1.87736,,
,,,,34671,1.87732,,
,,,,34731,1.87733,,
,,,,34791,1.87735,,
,,,,34851,1.87724,,
,,,,34911,1.87734,,
,,,,34971,1.87731,,
,,,,35031,1.87735,,
,,,,35091,1.87722,,
,,,,35151,1.87726,,
,,,,35211,1.87721,,
,,,,35271,1.87724,,
,,,,35331,1.87733,,
,,,,35391,1.87725,,
,,,,35451,1.87734,,
,,,,35511,1.87725,,
,,,,35571,1.87728,,
,,,,35631,1.87735,,
,,,,35691,1.87726,,
,,,,35751,1.8772,,
,,,,35811,1.87719,,
,,,,35871,1.87724,,
,,,,35931,1.87728,,
,,,,35991,1.87723,,
,,,,36051,1.8772,,
,,,,36111,1.87719,,
,,,,36171,1.87722,,
,,,,36231,1.87726,,
,,,,36291,1.87721,,
,,,,36351,1.87725,,
,,,,36411,1.87717,,
,,,,36471,1.87717,,
,,,,36531,1.87721,,
,,,,36591,1.87725,,
,,,,36651,1.87715,,
,,,,36711,1.87717,,
,,,,36771,1.87716,,
,,,,36831,1.87719,,
,,,,36891,1.87724,,
,,,,36951,1.87711,,
,,,,37011,1.87722,,
,,,,37071,1.87718,,
,,,,37131,1.87718,,
,,,,37191,1.87713,,
,,,,37251,1.87716,,
,,,,37313,1.87719,,
,,,,37371,1.87716,,
,,,,37431,1.87715,,
,,,,37491,1.87717,,
,,,,37551,1.87714,,
,,,,37611,1.87716,,
,,,,37671,1.87711,,
,,,,37731,1.87718,,
,,,,37791,1.87709,,
,,,,37851,1.8771,,
,,,,37911,1.87717,,
,,,,37971,1.87715,,
,,,,38031,1.87706,,
,,,,38091,1.87711,,
,,,,38151,1.87714,,
,,,,38211,1.87706,,
,,,,38271,1.87711,,
,,,,38331,1.87712,,
,,,,38391,1.87708,,
,,,,38451,1.87717,,
,,,,38511,1.87705,,
,,,,38571,1.87706,,
,,,,38631,1.877,,
,,,,38691,1.87709,,
,,,,38751,1.8771,,
,,,,38811,1.87707,,
,,,,38871,1.8771,,
,,,,38931,1.87701,,
,,,,38991,1.8771,,
,,,,39051,1.87697,,
,,,,39111,1.877,,
,,,,39171,1.87704,,
,,,,39231,1.877,,
,,,,39291,1.87702,,
,,,,39351,1.87707,,
,,,,39411,1.87706,,
,,,,39471,1.87702,,
,,,,39531,1.87698,,
,,,,39591,1.87693,,
,,,,39651,1.87694,,
,,,,39711,1.877,,
,,,,39771,1.87697,,
,,,,39831,1.87696,,
,,,,39891,1.87703,,
,,,,39951,1.87703,,
,,,,40011,1.87701,,
,,,,40071,1.87699,,
,,,,40131,1.87697,,
,,,,40191,1.87689,,
,,,,40251,1.87696,,
,,,,40311,1.87691,,
,,,,40371,1.8769,,
,,,,40431,1.87702,,
,,,,40491,1.8769,,
,,,,40551,1.87687,,
,,,,40611,1.87687,,
,,,,40671,1.87696,,
,,,,40731,1.8769,,
,,,,40791,1.87689,,
,,,,40851,1.87694,,
,,,,40911,1.87688,,
,,,,40971,1.87689,,
,,,,41031,1.87693,,
,,,,41095,1.87673,,
,,,,41151,1.87695,,
,,,,41211,1.8769,,
,,,,41271,1.87688,,
,,,,41331,1.87692,,
,,,,41391,1.87682,,
,,,,41451,1.87696,,
,,,,41511,1.87689,,
,,,,41571,1.8769,,
,,,,41631,1.87681,,
,,,,41691,1.87688,,
,,,,41751,1.87682,,
,,,,41811,1.87684,,
,,,,41871,1.87683,,
,,,,41931,1.87684,,
,,,,41991,1.87672,,
,,,,42051,1.87685,,
,,,,42111,1.87679,,
,,,,42171,1.87684,,
,,,,42231,1.87679,,
,,,,42291,1.87684,,
,,,,42351,1.87676,,
,,,,42411,1.87682,,
,,,,42471,1.87679,,
,,,,42531,1.87681,,
,,,,42591,1.87686,,
,,,,42651,1.87682,,
,,,,42711,1.87682,,
,,,,42771,1.87674,,
,,,,42831,1.87681,,
,,,,42891,1.8768,,
,,,,42951,1.87664,,
,,,,43011,1.87672,,
,,,,43071,1.8768,,
,,,,43131,1.87673,,
,,,,43191,1.87667,,
,,,,43251,1.87679,,
,,,,43311,1.87675,,
,,,,43371,1.87674,,
,,,,43431,1.87673,,
,,,,43491,1.8767,,
,,,,43551,1.87679,,
,,,,43611,1.87679,,
,,,,43671,1.87678,,
,,,,43731,1.87672,,
,,,,43791,1.87665,,
,,,,43851,1.87668,,
,,,,43911,1.87671,,
,,,,43971,1.87674,,
,,,,44031,1.87664,,
,,,,44091,1.87662,,
,,,,44151,1.87671,,
,,,,44211,1.87664,,
,,,,44271,1.8767,,
,,,,44331,1.87672,,
,,,,44391,1.87667,,
,,,,44451,1.87664,,
,,,,44511,1.87668,,
,,,,44571,1.87669,,
,,,,44631,1.87671,,
,,,,44691,1.87667,,
,,,,44751,1.87667,,
,,,,44811,1.87666,,
,,,,44871,1.87658,,
,,,,44931,1.8766,,
,,,,44991,1.87662,,
,,,,45051,1.87661,,
,,,,45111,1.87658,,
,,,,45171,1.87658,,
,,,,45231,1.87665,,
,,,,45291,1.8765,,
,,,,45351,1.87669,,
,,,,45411,1.87659,,
,,,,45471,1.87644,,
,,,,45531,1.87649,,
,,,,45591,1.87656,,
,,,,45651,1.87661,,
,,,,45711,1.87664,,
,,,,45771,1.87656,,
,,,,45831,1.8766,,
,,,,45891,1.87646,,
,,,,45951,1.87658,,
,,,,46011,1.87651,,
,,,,46071,1.87655,,
,,,,46131,1.87658,,
,,,,46191,1.87651,,
,,,,46251,1.87654,,
,,,,46311,1.87652,,
,,,,46371,1.87656,,
,,,,46431,1.87653,,
,,,,46491,1.87651,,
,,,,46551,1.87649,,
,,,,46611,1.87649,,
,,,,46671,1.87651,,
,,,,46731,1.87641,,
,,,,46791,1.87656,,
,,,,46851,1.87651,,
,,,,46911,1.87647,,
,,,,46971,1.87647,,
,,,,47031,1.87642,,
,,,,47091,1.87643,,
,,,,47151,1.87647,,
,,,,47211,1.87646,,
,,,,47271,1.87642,,
,,,,47331,1.87638,,
,,,,47391,1.87652,,
,,,,47451,1.87652,,
,,,,47511,1.87644,,
,,,,47571,1.87643,,
,,,,47631,1.87638,,
,,,,47691,1.87639,,
,,,,47751,1.87645,,
,,,,47811,1.87638,,
,,,,47871,1.87639,,
,,,,47931,1.87643,,
,,,,47992,1.87645,,
,,,,48051,1.87638,,
,,,,48111,1.8764,,
,,,,48171,1.8764,,
,,,,48231,1.87643,,
,,,,48291,1.87635,,
,,,,48351,1.87638,,
,,,,48411,1.87642,,
,,,,48471,1.87636,,
,,,,48531,1.87627,,
,,,,48594,1.87638,,
,,,,48653,1.87632,,
,,,,48711,1.87638,,
,,,,48771,1.8762,,
,,,,48831,1.87634,,
,,,,48893,1.87626,,
,,,,48951,1.87636,,
,,,,49011,1.87636,,
,,,,49071,1.87631,,
,,,,49131,1.87631,,
,,,,49191,1.87632,,
,,,,49251,1.87634,,
,,,,49311,1.87622,,
,,,,49371,1.87626,,
,,,,49432,1.87625,,
,,,,49491,1.87633,,
,,,,49551,1.87631,,
,,,,49611,1.87634,,
,,,,49671,1.87622,,
,,,,49731,1.87628,,
,,,,49791,1.87633,,
,,,,49851,1.87627,,
,,,,49914,1.87622,,
,,,,49971,1.87615,,
,,,,50031,1.87634,,
,,,,50091,1.87635,,
,,,,50151,1.87625,,
,,,,50211,1.87627,,
,,,,50271,1.87626,,
,,,,50331,1.87623,,
,,,,50391,1.87624,,
,,,,50451,1.87633,,
,,,,50511,1.87629,,
,,,,50571,1.87629,,
,,,,50631,1.87632,,
,,,,50691,1.87623,,
,,,,50751,1.8762,,
,,,,50811,1.87623,,
,,,,50871,1.87626,,
,,,,50931,1.87617,,
,,,,50991,1.87623,,
,,,,51051,1.87621,,
,,,,51111,1.87621,,
,,,,51171,1.87626,,
,,,,51231,1.87619,,
,,,,51291,1.87619,,
,,,,51352,1.87615,,
,,,,51411,1.87606,,
,,,,51471,1.87622,,
,,,,51531,1.87636,,
,,,,51591,1.87619,,
,,,,51653,1.87602,,
,,,,51711,1.87624,,
,,,,51771,1.87621,,
,,,,51831,1.87621,,
,,,,51891,1.87626,,
,,,,51951,1.87619,,
,,,,52011,1.87617,,
,,,,52072,1.87609,,
,,,,52131,1.87614,,
,,,,52191,1.87615,,
,,,,52251,1.87617,,
,,,,52311,1.87609,,
,,,,52371,1.87608,,
,,,,52431,1.87611,,
,,,,52491,1.87611,,
,,,,52551,1.87619,,
,,,,52611,1.87618,,
,,,,52671,1.87616,,
,,,,52731,1.87612,,
,,,,52791,1.87591,,
,,,,52851,1.87606,,
,,,,52911,1.87615,,
,,,,52971,1.87613,,
,,,,53033,1.87615,,
,,,,53091,1.87598,,
,,,,53151,1.87608,,
,,,,53211,1.87609,,
,,,,53271,1.87603,,
,,,,53331,1.87602,,
,,,,53391,1.87619,,
,,,,53451,1.87601,,
,,,,53511,1.87604,,
,,,,53571,1.87607,,
,,,,53631,1.87613,,
,,,,53691,1.87611,,
,,,,53751,1.87612,,
,,,,53811,1.87601,,
,,,,53871,1.87595,,
,,,,53933,1.87602,,
,,,,53991,1.87604,,
,,,,54051,1.87607,,
,,,,54111,1.87603,,
,,,,54171,1.87607,,
,,,,54233,1.87599,,
,,,,54291,1.87585,,
,,,,54351,1.87592,,
,,,,54411,1.87606,,
,,,,54472,1.87607,,
,,,,54531,1.87595,,
,,,,54595,1.87603,,
,,,,54651,1.87588,,
,,,,54711,1.87617,,
,,,,54771,1.87601,,
,,,,54831,1.87576,,
,,,,54891,1.87597,,
,,,,54951,1.87602,,
,,,,55011,1.87592,,
,,,,55071,1.87593,,
,,,,55131,1.87599,,
,,,,55191,1.87594,,
,,,,55253,1.87583,,
,,,,55314,1.87594,,
,,,,55374,1.87584,,
,,,,55431,1.87598,,
,,,,55491,1.87597,,
,,,,55551,1.87583,,
,,,,55611,1.87586,,
,,,,55673,1.87606,,
,,,,55731,1.87596,,
,,,,55791,1.87591,,
,,,,55851,1.87603,,
,,,,55911,1.87599,,
,,,,55972,1.8758,,
,,,,56031,1.8759,,
,,,,56091,1.87591,,
,,,,56152,1.87601,,
,,,,56211,1.87593,,
,,,,56271,1.87594,,
,,,,56331,1.87592,,
,,,,56391,1.87596,,
,,,,56451,1.87581,,
,,,,56511,1.87584,,
,,,,56571,1.8759,,
,,,,56631,1.87586,,
,,,,56693,1.87575,,
,,,,56751,1.8759,,
,,,,56811,1.8758,,
,,,,56871,1.87581,,
,,,,56931,1.87596,,
,,,,56991,1.87583,,
,,,,57051,1.87592,,
,,,,57111,1.87584,,
,,,,57171,1.87592,,
,,,,57231,1.87572,,
,,,,57292,1.87567,,
,,,,57351,1.87584,,
,,,,57411,1.87582,,
,,,,57471,1.87584,,
,,,,57531,1.87594,,
,,,,57592,1.87574,,
,,,,57651,1.87583,,
,,,,57711,1.87579,,
,,,,57771,1.87579,,
,,,,57831,1.87594,,
,,,,57891,1.87587,,
,,,,57951,1.87601,,
,,,,58012,1.87577,,
,,,,58071,1.87577,,
,,,,58131,1.87581,,
,,,,58191,1.87574,,
,,,,58251,1.8758,,
,,,,58311,1.87569,,
,,,,58371,1.87574,,
,,,,58431,1.87583,,
,,,,58491,1.87573,,
,,,,58551,1.87579,,
,,,,58611,1.87576,,
,,,,58671,1.8759,,
,,,,58731,1.87584,,
,,,,58791,1.87579,,
,,,,58851,1.87581,,
,,,,58911,1.87562,,
,,,,58972,1.8757,,
,,,,59031,1.87576,,
,,,,59091,1.87566,,
,,,,59151,1.87576,,
,,,,59211,1.87564,,
,,,,59271,1.87565,,
,,,,59332,1.87561,,
,,,,59391,1.87573,,
,,,,59454,1.87566,,
,,,,59511,1.87568,,
,,,,59571,1.87577,,
,,,,59631,1.87568,,
,,,,59691,1.87577,,
,,,,59751,1.87562,,
,,,,59811,1.87569,,
,,,,59871,1.87571,,
,,,,59931,1.8758,,
,,,,59991,1.87578,,
,,,,60051,1.87579,,
,,,,60111,1.87577,,
,,,,60171,1.87573,,
,,,,60231,1.87561,,
,,,,60291,1.8757,,
,,,,60351,1.87569,,
,,,,60411,1.87569,,
,,,,60471,1.8758,,
,,,,60531,1.87564,,
,,,,60592,1.87562,,
,,,,60654,1.87581,,
,,,,60713,1.87566,,
,,,,60771,1.87563,,
,,,,60831,1.87557,,
,,,,60891,1.87569,,
,,,,60951,1.8756,,
,,,,61011,1.87566,,
,,,,61071,1.87573,,
,,,,61131,1.87561,,
,,,,61193,1.87557,,
,,,,61251,1.87554,,
,,,,61311,1.87558,,
,,,,61373,1.87553,,
,,,,61431,1.87571,,
,,,,61491,1.87559,,
,,,,61551,1.87556,,
,,,,61611,1.87571,,
,,,,61674,1.87565,,
,,,,61731,1.87564,,
,,,,61791,1.87562,,
,,,,61851,1.87548,,
,,,,61911,1.87564,,
,,,,61973,1.8756,,
,,,,62031,1.87562,,
,,,,62091,1.87568,,
,,,,62151,1.87538,,
,,,,62211,1.87564,,
,,,,62272,1.87546,,
,,,,62331,1.87561,,
,,,,62391,1.87549,,
,,,,62452,1.87552,,
,,,,62511,1.87561,,
,,,,62571,1.87565,,
,,,,62631,1.87563,,
,,,,62691,1.87545,,
,,,,62754,1.87549,,
,,,,62811,1.87562,,
,,,,62871,1.87543,,
,,,,62931,1.87553,,
,,,,62992,1.87548,,
,,,,63051,1.87557,,
,,,,63113,1.87554,,
,,,,63172,1.87548,,
,,,,63231,1.87555,,
,,,,63293,1.87548,,
,,,,63351,1.87543,,
,,,,63412,1.87559,,
,,,,63471,1.87558,,
,,,,63531,1.87556,,
,,,,63591,1.87551,,
,,,,63652,1.87556,,
,,,,63711,1.87548,,
,,,,63771,1.87551,,
,,,,63831,1.87552,,
,,,,63891,1.87559,,
,,,,63951,1.87559,,
,,,,64012,1.87548,,
,,,,64071,1.87542,,
,,,,64131,1.87556,,
,,,,64191,1.87549,,
,,,,64251,1.87545,,
,,,,64311,1.87551,,
,,,,64371,1.87555,,
,,,,64431,1.87542,,
,,,,64491,1.87534,,
,,,,64554,1.87546,,
,,,,64611,1.87542,,
,,,,64671,1.87532,,
,,,,64731,1.87542,,
,,,,64791,1.87549,,
,,,,64851,1.87546,,
,,,,64911,1.87549,,
,,,,64971,1.87554,,
,,,,65031,1.87544,,
,,,,65091,1.87548,,
,,,,65153,1.87542,,
,,,,65211,1.87529,,
,,,,65273,1.87546,,
,,,,65331,1.87548,,
,,,,65391,1.87551,,
,,,,65451,1.87547,,
,,,,65511,1.87519,,
,,,,65572,1.87536,,
,,,,65631,1.87549,,
,,,,65691,1.87542,,
,,,,65751,1.87544,,
,,,,65811,1.87538,,
,,,,65871,1.87543,,
,,,,65932,1.87537,,
,,,,65995,1.87511,,
,,,,66051,1.87544,,
,,,,66111,1.87544,,
,,,,66171,1.8754,,
,,,,66231,1.87543,,
,,,,66291,1.87537,,
,,,,66351,1.87554,,
,,,,66411,1.8752,,
,,,,66471,1.87537,,
,,,,66531,1.87544,,
,,,,66591,1.87538,,
,,,,66651,1.87536,,
,,,,66711,1.87538,,
,,,,66771,1.87523,,
,,,,66831,1.87531,,
,,,,66891,1.8754,,
,,,,66951,1.87536,,
,,,,67011,1.87529,,
,,,,67071,1.8753,,
,,,,67131,1.87536,,
,,,,67191,1.87534,,
,,,,67252,1.8752,,
,,,,67313,1.87531,,
,,,,67371,1.87539,,
,,,,67431,1.87545,,
,,,,67491,1.87535,,
,,,,67551,1.87549,,
,,,,67611,1.87524,,
,,,,67676,1.87523,,
,,,,67731,1.87523,,
,,,,67791,1.87541,,
,,,,67851,1.87531,,
,,,,67911,1.87527,,
,,,,67971,1.87528,,
,,,,68032,1.87529,,
,,,,68091,1.87519,,
,,,,68151,1.8752,,
,,,,68211,1.87524,,
,,,,68271,1.87521,,
,,,,68331,1.87517,,
,,,,68391,1.87518,,
,,,,68451,1.87518,,
,,,,68511,1.87523,,
,,,,68571,1.87525,,
,,,,68631,1.87531,,
,,,,68691,1.87522,,
,,,,68751,1.87522,,
,,,,68814,1.87538,,
,,,,68871,1.87508,,
,,,,68931,1.87516,,
,,,,68993,1.875,,
,,,,69054,1.87513,,
,,,,69111,1.87516,,
,,,,69171,1.87514,,
,,,,69231,1.87536,,
,,,,69291,1.87524,,
,,,,69351,1.87525,,
,,,,69411,1.8752,,
,,,,69471,1.87509,,
,,,,69531,1.87528,,
,,,,69591,1.87519,,
,,,,69651,1.87523,,
,,,,69711,1.87513,,
,,,,69771,1.87515,,
,,,,69831,1.87514,,
,,,,69891,1.87519,,
,,,,69955,1.87522,,
,,,,70012,1.8752,,
,,,,70071,1.87515,,
,,,,70131,1.87526,,
,,,,70191,1.87516,,
,,,,70251,1.87537,,
,,,,70311,1.87519,,
,,,,70371,1.87522,,
,,,,70431,1.87519,,
,,,,70491,1.87528,,
,,,,70551,1.87535,,
,,,,70611,1.8752,,
,,,,70671,1.87511,,
,,,,70731,1.87515,,
,,,,70791,1.87524,,
,,,,70851,1.87521,,
,,,,70911,1.87526,,
,,,,70971,1.87515,,
,,,,71031,1.8752,,
,,,,71091,1.87512,,
,,,,71151,1.87531,,
,,,,71212,1.87515,,
,,,,71271,1.87509,,
,,,,71331,1.87514,,
,,,,71391,1.87521,,
,,,,71451,1.87512,,
,,,,71511,1.87521,,
,,,,71571,1.87504,,
,,,,71632,1.87511,,
,,,,71692,1.87495,,
,,,,71751,1.87512,,
,,,,71811,1.87524,,
,,,,71871,1.87486,,
,,,,71931,1.87521,,
,,,,71991,1.87516,,
,,,,72051,1.87522,,
,,,,72111,1.87511,,
,,,,72171,1.87512,,
,,,,72231,1.87513,,
,,,,72291,1.87518,,
,,,,72351,1.87518,,
,,,,72411,1.87505,,
,,,,72473,1.8752,,
,,,,72531,1.87518,,
,,,,72592,1.87517,,
,,,,72651,1.8751,,
,,,,72711,1.8752,,
,,,,72773,1.87499,,
,,,,72831,1.87508,,
,,,,72891,1.87499,,
,,,,72951,1.87508,,
,,,,73014,1.87507,,
,,,,73071,1.87511,,
,,,,73131,1.87511,,
,,,,73191,1.87515,,
,,,,73253,1.87501,,
,,,,73311,1.87499,,
,,,,73371,1.87507,,
,,,,73431,1.87514,,
,,,,73491,1.87503,,
,,,,73551,1.87502,,
,,,,73611,1.87505,,
,,,,73671,1.87501,,
,,,,73731,1.87521,,
,,,,73791,1.87513,,
,,,,73851,1.87511,,
,,,,73913,1.87504,,
,,,,73971,1.875,,
,,,,74091,1.87505,,
,,,,74151,1.87499,,
,,,,74211,1.87504,,
,,,,74271,1.87507,,
,,,,74331,1.87499,,
,,,,74391,1.87491,,
,,,,74451,1.87518,,
,,,,74511,1.87494,,
,,,,74571,1.87502,,
,,,,74631,1.87517,,
,,,,74691,1.8749,,
,,,,74751,1.8749,,
,,,,74811,1.87497,,
,,,,74871,1.87504,,
,,,,74931,1.87495,,
,,,,74991,1.87499,,
,,,,75051,1.87496,,
,,,,75114,1.87509,,
,,,,75171,1.87505,,
,,,,75233,1.87511,,
,,,,75291,1.87501,,
,,,,75351,1.87503,,
,,,,75411,1.87505,,
,,,,75471,1.87493,,
,,,,75531,1.87496,,
,,,,75591,1.87503,,
,,,,75651,1.87501,,
,,,,75711,1.8749,,
,,,,75771,1.87493,,
,,,,75831,1.87497,,
,,,,75891,1.87491,,
,,,,75951,1.87495,,
,,,,76013,1.875,,
,,,,76071,1.87498,,
,,,,76131,1.87502,,
,,,,76191,1.87498,,
,,,,76251,1.87501,,
,,,,76311,1.87494,,
,,,,76371,1.87495,,
,,,,76432,1.87498,,
,,,,76497,1.87477,,
,,,,76551,1.87489,,
,,,,76611,1.87489,,
,,,,76671,1.87504,,
,,,,76731,1.87495,,
,,,,76791,1.87494,,
,,,,76851,1.87491,,
,,,,76911,1.87486,,
,,,,76972,1.87501,,
,,,,77031,1.87481,,
